text,score
I had penile reduction surgery. As for the rest - I've been measured by publications so much there's ruler ink on my cock. Enough already.,0.0
go cum on a dildo wankbag,0.0
"""== Blocked as a sockpuppet ==
""",0.0
"Just saying that it could be considered canvassing, not that it was canvassing. I did the same thing, without asking the editor to vote for my side, and it was said that I was canvassing. Then again, I have been called a troll, a human rights violator, a censorship supporter, (and recently) that I like to lick the the asses of other DYK contributors to get their approval, etc. /",0.0
Get a proper job kilt lifter,0.0
Stay in the closet.,0.0
"the batman kid 

anyone know who this little brat is that posted garbage under storyline? ive tried to edit the page to clean it up, but it isnt displaying as part of the page, although ti clearly is there.",0.0
"Small minded and ignorant Wiki contributors. 

It seem sto me that th eoriginal noble aims of the founders have gone adrift due to the smallminded pettyness of many contributors.

They usually manifest this smallminded ignorance by deleting any correction to their original articles as seemingly their godliness means the are the supreme authority on most topics even if as is the frequent case they live in some little place in USA ad have no real knowledge of life beyond the stripmalls.   

Constant ingestion of burgers and fries makes them feel to be experts on all things even those of which they know nothing and have n personal experience of.  Thus when I spot an inconsitency in their pieces and add some correct and especially logical words to their precious piece they get their knickers in a twist and childishly erase my effort and thus leave all other Wiki readers just as ignorant as they themselves.

This is Fascism and more fitting to Hitler's Germany or Stalin's Russia that the wide world of today.

I will nevertheless continue to add, subtract or otherwise modify and improve various Wiki articles I find as part of my conviction that eductaion should be progressive not regressive.",0.0
"Wikipedia= Nazi Germany: Phase 2 

Hello. I am writing to inform you that Wikipedia is the second phase of the Nazi Germany movement. They do not allow any form of freedom of speech and immediately suppress anything they do not like or anything they cannot be bothered to research. One could also draw lines that Brookie is very akin to Adolph Hitler in the way that he is ever-vigilant and despises anyone that is below him in the Wikipedia hierarchy. If Brookie or anybody else chooses to delete this then it is proof that Wikipedia does not allow anyone to voice their opinion and will only stregthen the argument that Wikipedia is the second phase of the Nazi's plot for world domination.",0.0
I'm not  to believe for a second I could go undetected with all the vindictive sexlifeless morons out there.,0.0
"Deforimity
Does she have deformity. I've never seen an uglier person in my life. Please explain!?",0.0
"If I am sockpuppet so is she, same computer",0.0
"Bongwarrior's mother 

Bongwarrior's mother had a troubled history.  She began working as a child prostitute at the age of 13.  She had several pimps during her adolescence.  During this time, she was repeatedly gang raped by people from Africa.  But she enjoyed it because she enjoyed having two or three big black dicks in her vagina and anus at the same time.

One night when she was 18, she got drunk at a neighborhood bar near her home in Jackson, Mississippi.  While walking home she met an African American homeless person, with whom she conceived Bongwarrior.",0.0
He is a symbol of contentment hence he is content with being fat and bald.,0.0
"untitled 

There was a picture of a penis",0.0
"that I am a big homo, and",0.0
@ okay king of the Wikipedia Nazis.,0.0
"""

 """"Nigger"""" was not exactly my choice of words 

If you bother to read the article on Mark Fuhrman, and you have an I.Q. at my level or higher, you might recognize that my reference to """"nigger-lover"""" was satirical and that it is well-documentated that Mr. Fuhrman is the one who, quite notably, used that racial epitaph so freely, and later lied about it later under oath and quite appropriately was stripped of his law enforcement duties forever. He deserves to have it rubbed in his nose and for the rest of you to reminded of that on a regular basis, lest he be whitewashed.  Pun inteneded.   """,0.0
Hey Stupydbytch Frodesiak I am BACK,0.0
"Ankit Fadia  

Ankit Fadia is not a white hat hacker, he is a serial liar, I am being very kind here
I am a security professional by trade, Ankit Fadia was rated by attendees of the DEF CON
20 hacker conference, the largest hacker conference in the world as Charlatan of the year.

Calling Ankit Fadia an author of several books on the subject of ethical hacking is as 
factual as like calling Barack Obama the President of Russia. Ankit Fadia has plagiarized
32% of his first book, and over 90% of the first chapter of another. 

I am not the only party that knows this article does not merit a page on Wikipedia, please
look over this page. http://securityerrata.org/errata/charlatan/ankit_fadia/

Please consider deleting the Ankit Fadia article.",0.0
